Title,Platform,Date of release,Genre,Rating,Amount of ratings
COMMAND & CONQUER,PC,09/1995,Sci-Fi,0.94,488.0
ANOMALY: WARZONE EARTH,iOS,08/2011,Action,0.94,59.0
COMPANY OF HEROES,PC,09/2006,Strategy,0.93,1457.0
STARCRAFT II: WINGS OF LIBERTY,PC,07/2010,Strategy,0.93,3728.0
HOMEWORLD,PC,08/1999,Strategy,0.93,408.0
TWILIGHT STRUGGLE MOBILE,iOS,06/2016,,0.93,
PLANTS VS. ZOMBIES HD,iOS,03/2010,Strategy,0.93,46.0
PLANTS VS. ZOMBIES,iOS,02/2010,Strategy,0.92,125.0
RIMWORLD CONSOLE EDITION,Xbox One,07/2022,,0.92,
WARCRAFT III: REIGN OF CHAOS,PC,07/2002,Strategy,0.92,2393.0
SID MEIER'S GETTYSBURG!,PC,09/1997,,0.92,
ROME: TOTAL WAR,PC,09/2004,Strategy,0.92,1471.0
AGE OF EMPIRES II: THE AGE OF KINGS,PC,09/1999,Strategy,0.92,1362.0
MYTH: THE FALLEN LORDS,PC,10/1997,,0.91,
CRUSADER KINGS III,PC,09/2020,Strategy,0.91,658.0
BLACK & WHITE,PC,03/2001,Strategy,0.9,400.0
THIS WAR OF MINE,iOS,07/2015,Action,0.9,69.0
PIKMIN 2,GameCube,08/2004,Strategy,0.9,227.0
DOTA 2,PC,07/2013,General,0.9,11881.0
EMPIRE: TOTAL WAR,PC,03/2009,,0.9,
COMMAND & CONQUER: RED ALERT,PC,11/1996,,0.9,
SACRIFICE (2000),PC,11/2000,,0.89,
PIKMIN,GameCube,12/2001,Strategy,0.89,213.0
AGE OF MYTHOLOGY,PC,11/2002,Strategy,0.89,752.0
PLANTS VS. ZOMBIES,Xbox 360,09/2010,Strategy,0.89,193.0
HOMEWORLD: CATACLYSM,PC,09/2000,,0.89,
COMBAT MISSION: BARBAROSSA TO BERLIN,PC,10/2002,,0.89,
WORLD IN CONFLICT,PC,09/2007,Strategy,0.89,390.0
KINGDOM RUSH,iOS,12/2011,,0.89,
RISE OF NATIONS,PC,05/2003,Strategy,0.89,388.0
LEAGUE OF LEGENDS: WILD RIFT,iOS,10/2020,Strategy,0.89,39.0
ELF DEFENSE ENG,iOS,02/2012,,0.89,
MEDIEVAL: TOTAL WAR,PC,08/2002,,0.88,
FTL: FASTER THAN LIGHT,iOS,04/2014,Simulation,0.88,76.0
CRUSADER KINGS II: THE OLD GODS,PC,05/2013,Strategy,0.88,183.0
WARCRAFT III: THE FROZEN THRONE,PC,07/2003,Strategy,0.88,1820.0
STARCRAFT,PC,03/1998,,0.88,
MYTH II: SOULBLIGHTER,PC,11/1998,,0.88,
FIELDRUNNERS 2,iOS,07/2012,Action,0.88,35.0
MEDIEVAL II: TOTAL WAR,PC,11/2006,Strategy,0.88,933.0
KINGDOM RUSH VENGEANCE,iOS,11/2018,,0.88,
CASTLE DOOMBAD,iOS,01/2014,,0.88,
STARCRAFT II: LEGACY OF THE VOID,PC,11/2015,Sci-Fi,0.88,1190.0
RISE OF NATIONS: THRONES & PATRIOTS,PC,04/2004,Strategy,0.88,113.0
PLANTS VS. ZOMBIES,PC,05/2009,Strategy,0.87,1391.0
RIMWORLD,PC,10/2018,,0.87,
EUROPA UNIVERSALIS II,PC,11/2001,,0.87,
SINS OF A SOLAR EMPIRE,PC,02/2008,Strategy,0.87,316.0
GOTTA PROTECTORS,3DS,07/2016,,0.87,
TINYKIN,Switch,08/2022,,0.87,
ORCS MUST DIE! UNCHAINED,PC,04/2017,Action,0.87,43.0
LITTLE KING'S STORY,Wii,07/2009,Strategy,0.87,104.0
SHOGUN: TOTAL WAR WARLORD EDITION,PC,08/2001,Strategy,0.87,56.0
EUROPA UNIVERSALIS IV,PC,08/2013,Strategy,0.87,1431.0
