ID,Title,Platform,Date of release,Genre,Rating,Amount of ratings,Rating Score
1,Age of Empires II: Definitive Edition,PC,2019-11-01,Strategy,0.94,59.0,1.8092307692307692
2,Age of Empires II (2013),PC,2013-04-01,Strategy,0.93,1457.0,1.7481534330160646
3,Kenshi,PC,2018-12-01,Open World,0.93,3728.0,1.3780822461983377
4,STAR WARS™ Empire at War - Gold Pack,PC,2006-02-01,Strategy,0.93,408.0,1.3527505442295773
5,Seven Kingdoms: Ancient Adversaries,PC,1998-06-01,Strategy,0.93,,1.1744072267331924
6,Supreme Commander: Forged Alliance,PC,2011-09-01,Strategy,0.93,46.0,1.1387348449938823
7,"Warhammer® 40,000: Dawn of War® - Soulstorm",PC,2008-03-01,Warhammer 40K,0.92,125.0,1.1136502311982583
8,Total War: SHOGUN 2,PC,2011-03-01,Strategy,0.92,,1.110186388699093
9,Creeper World 3: Arc Eternal,PC,2014-03-01,Tower Defense,0.92,2393.0,1.0482514737895856
10,It Stares Back,PC,2019-06-01,Strategy,0.92,,1.0405866556496592
11,Command & Conquer 3: Kane's Wrath,PC,2009-11-01,Strategy,0.92,1471.0,1.0149578122765481
12,Rusted Warfare - RTS,PC,2017-07-01,RTS,0.92,1362.0,1.0124758076049132
13,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",PC,2006-01-01,Strategy,0.91,,1.0110093273799117
14,Byte Lynx,PC,2022-10-01,Strategy,0.91,658.0,1.010363561247676
15,Door Kickers 2: Task Force North,PC,2020-11-01,Strategy,0.9,400.0,1.0060659749257146
16,Mindustry,PC,2019-09-01,Base Building,0.9,69.0,1.0039972669346764
17,Original War,PC,2001-06-01,Strategy,0.9,227.0,1.003764956382184
18,Impossible Creatures Steam Edition,PC,2003-01-01,Strategy,0.9,11881.0,0.9813439689828864
19,COMMAND & CONQUER,PC,1995-09-01,Sci-Fi,0.9,,0.9762159757202101
20,Hegemony Gold: Wars of Ancient Greece,PC,2012-03-01,Strategy,0.9,,0.9575502518551474
21,Lobotomy Corporation | Monster Management Simulation,PC,2018-04-01,Management,0.89,,0.9482486136049447
22,Door Kickers,PC,2014-10-01,Tactical,0.89,213.0,0.9361487613811512
23,Airships: Conquer the Skies,PC,2018-08-01,Grand Strategy,0.89,752.0,0.935897700729347
24,Metal Fatigue,PC,2000-07-01,Strategy,0.89,193.0,0.9250674526877788
25,Giants: Citizen Kabuto,PC,2000-12-01,Action,0.89,,0.9233322740056883
26,Creeper World 4,PC,2020-12-01,Tower Defense,0.89,,0.9036605596427947
27,Empires of the Undergrowth,PC,2017-12-01,Strategy,0.89,390.0,0.8967292199640886
28,Dungeons 3,PC,2017-10-01,Strategy,0.89,,0.8946419207728853
29,Rise of Nations: Extended Edition,PC,2014-06-01,Strategy,0.89,388.0,0.8845014539271921
30,EMERGENCY 4 Deluxe,PC,2006-04-01,Simulation,0.89,39.0,0.8732888945386361
31,Against the Storm,PC,2022-11-01,Strategy,0.89,,0.8620814199227749
32,Brutal Legend,PC,2013-02-01,Action,0.88,,0.8591152495511104
33,HOMEWORLD,PC,1999-08-01,Strategy,0.88,76.0,0.8586318783468138
34,Sins of a Solar Empire®: Rebellion,PC,2012-06-01,Real Time Tactics,0.88,183.0,0.8480534854527836
35,Overlord™,PC,2007-06-01,Hack and Slash,0.88,1820.0,0.8219452433540437
36,Knights of Honor,PC,2005-05-01,Strategy,0.88,,0.8132486930545189
37,ANOMALY: WARZONE EARTH,iOS,2011-08-01,Action,0.88,,0.8126712535553682
38,Victoria II,PC,2010-08-01,Grand Strategy,0.88,35.0,0.8099612286082029
39,COMPANY OF HEROES,PC,2006-09-01,Strategy,0.88,933.0,0.7972995090016372
