Title,Platform,Date of release,Genre,Rating,Amount of ratings
STAR WARS™ Empire at War - Gold Pack,PC,02/2006,Strategy,0.97,31442
Age of Empires II (2013),PC,04/2013,Strategy,0.96,97077
Stronghold Crusader HD,PC,07/2002,Real Time Tactics,0.98,15322
Shadow Tactics: Blades of the Shogun,PC,12/2016,Stealth,0.96,33616
Age of Empires II: Definitive Edition,PC,11/2019,Strategy,0.95,121040
Kenshi,PC,12/2018,Open World,0.95,67650
Total War: MEDIEVAL II – Definitive Edition,PC,11/2006,Strategy,0.96,27610
Supreme Commander: Forged Alliance,PC,09/2011,Strategy,0.97,11592
Mindustry,PC,09/2019,Base Building,0.96,14277
"Warhammer® 40,000: Dawn of War® - Dark Crusade",PC,10/2006,Strategy,0.97,7206
Door Kickers 2: Task Force North,PC,11/2020,Strategy,0.97,6428
"Warhammer® 40,000: Dawn of War® - Soulstorm",PC,03/2008,Warhammer 40K,0.96,14235
Rusted Warfare - RTS,PC,07/2017,RTS,0.97,3573
Lobotomy Corporation | Monster Management Simulation,PC,04/2018,Management,0.94,24939
Total War: WARHAMMER II,PC,09/2017,Strategy,0.93,119523
Against the Storm,PC,11/2022,Strategy,0.95,10042
Creeper World 3: Arc Eternal,PC,03/2014,Tower Defense,0.97,4272
Stronghold HD,PC,10/2001,Real Time Tactics,0.95,8295
Dungeons 3,PC,10/2017,Strategy,0.94,17241
Hearts of Iron IV,PC,06/2016,Strategy,0.92,227237
Airships: Conquer the Skies,PC,08/2018,Grand Strategy,0.96,4825
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",PC,01/2006,Strategy,0.95,8702
Company of Heroes,PC,09/2006,Strategy,0.94,13952
Empires of the Undergrowth,PC,12/2017,Strategy,0.95,8184
Rise of Nations: Extended Edition,PC,06/2014,Strategy,0.94,12383
Crusader Kings III,PC,09/2020,Strategy,0.92,89011
Door Kickers,PC,10/2014,Tactical,0.95,9324
Total Annihilation,PC,09/1997,Strategy,0.96,2862
Creeper World 4,PC,12/2020,Tower Defense,0.96,3344
Command & Conquer 3: Kane's Wrath,PC,11/2009,Strategy,0.96,3501
Total War: SHOGUN 2,PC,03/2011,Strategy,0.92,54685
Brutal Legend,PC,02/2013,Action,0.93,17410
Age of Mythology: Extended Edition,PC,05/2014,Strategy,0.92,29315
Sins of a Solar Empire®: Rebellion,PC,06/2012,Real Time Tactics,0.93,14861
Minion Masters,PC,05/2019,Real Time Tactics,0.91,60505
Company of Heroes - Legacy Edition,PC,09/2006,Strategy,0.94,6476
Victoria II,PC,08/2010,Grand Strategy,0.92,17140
Overlord™,PC,06/2007,Hack and Slash,0.93,5650
Men of War: Assault Squad 2,PC,05/2014,Strategy,0.91,38005
Zero-K,PC,04/2018,Strategy,0.94,3040
Impossible Creatures Steam Edition,PC,01/2003,Strategy,0.95,1481
Evil Genius,PC,09/2004,Strategy,0.94,3366
Total War: EMPIRE – Definitive Edition,PC,03/2009,Strategy,0.91,30203
Bad North: Jotunn Edition,PC,11/2018,Real Time Tactics,0.92,7954
Original War,PC,06/2001,Strategy,0.95,1774
Age of Empires® III (2007),PC,09/2009,Strategy,0.91,31085
Bahamut2-dragon's bride,PC,09/2021,RPG,0.98,393
Heroes of the Three Kingdoms 2,PC,11/2020,Strategy,0.95,1278
Infested Planet,PC,03/2014,Strategy,0.94,2769
Total War: NAPOLEON – Definitive Edition,PC,02/2010,Strategy,0.91,20778
Command & Conquer™ Remastered Collection,PC,06/2020,Strategy,0.91,27973
Shadow Tactics: Aiko's Choice,PC,12/2021,Real Time Tactics,0.93,3405
Lazerbait,PC,10/2016,Strategy,0.97,488
Overlord™: Raising Hell,PC,02/2008,RPG,0.93,1862
"Warhammer 40,000: Dawn of War II: Retribution",PC,02/2011,Warhammer 40K,0.91,11156
Company of Heroes: Tales of Valor,PC,04/2009,Strategy,0.93,2107
EMERGENCY 4 Deluxe,PC,04/2006,Simulation,0.94,1344
Going Medieval,PC,06/2021,City Builder,0.9,14234
Knights of Honor,PC,05/2005,Strategy,0.93,2177
STAR WARS™ Galactic Battlegrounds Saga,PC,11/2001,Strategy,0.91,3596
